Education,Relation_status,Seniority(in Years),Has_child,Children,Cluster,Age_group,Income_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
Postgraduate,Alone,8.72,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,10.20,Has child,2 children,High potential,Mature,Low income,Low consumer,Non consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
Postgraduate,In couple,9.17,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,In couple,9.22,Has child,1 child,Stars,Senior,High income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.15,Has child,1 child,Need attention,Adult,High income,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,9.36,No child,No child,Stars,Mature,High income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
Postgraduate,In couple,10.36,No child,No child,Need attention,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
Postgraduate,Alone,10.21,Has child,1 child,Need attention,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
Postgraduate,Alone,9.27,Has child,2 children,Leaky bucket,Adult,Low to medium income,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
Postgraduate,In couple,9.82,Has child,1 child,High potential,Senior,Low to medium income,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,In couple,10.23,No child,No child,Need attention,Mature,Medium to high income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.55,No child,No child,Stars,Senior,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Non consumer,Low consumer
Postgraduate,In couple,9.41,Has child,2 children,Leaky bucket,Senior,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.44,No child,No child,Need attention,Senior,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,8.96,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
Postgraduate,In couple,9.03,Has child,2 children,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.28,Has child,1 child,High potential,Adult,Low to medium income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,10.19,Has child,2 children,High potential,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,10.54,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.81,No child,No child,Need attention,Mature,High income,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.98,Has child,1 child,High potential,Mature,Low income,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.30,No child,No child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,10.26,Has child,1 child,Need attention,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Undergraduate,In couple,8.87,Has child,1 child,Leaky bucket,Adult,Low to medium income,Low consumer,Low consumer,Low consumer,Non consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.36,Has child,2 children,High potential,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,Alone,9.52,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,Alone,10.32,Has child,1 child,Need attention,Mature,Medium to high income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.71,Has child,2 children,High potential,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,Alone,10.55,Has child,2 children,High potential,Mature,Low to medium income,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
Postgraduate,Alone,9.97,No child,No child,High potential,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
Postgraduate,Alone,10.18,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.43,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.73,Has child,1 child,High potential,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.16,Has child,2 children,High potential,Mature,Low income,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,In couple,9.31,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer,Low consumer
Postgraduate,Alone,10.23,No child,No child,High potential,Senior,Low income,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Undergraduate,In couple,10.54,Has child,3 children,High potential,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
Postgraduate,Alone,8.94,Has child,1 child,Leaky bucket,Adult,Low to medium income,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,Alone,9.81,Has child,1 child,High potential,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,In couple,9.39,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Biggest consumer
Postgraduate,In couple,10.42,Has child,1 child,Need attention,Mature,Medium to high income,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,10.52,Has child,1 child,High potential,Senior,Low to medium income,Frequent consumer,Non consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.83,Has child,2 children,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.17,No child,No child,Stars,Adult,High income,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.24,Has child,1 child,Leaky bucket,Adult,Medium to high income,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
Postgraduate,Alone,8.84,No child,No child,Stars,Young,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.88,No child,No child,High potential,Senior,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.03,Has child,1 child,Stars,Mature,High income,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.42,No child,No child,Stars,Adult,High income,Biggest consumer,Non consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.47,Has child,2 children,High potential,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
Postgraduate,In couple,10.52,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,Alone,10.20,Has child,1 child,High potential,Adult,Low income,Low consumer,Non consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
Undergraduate,In couple,10.32,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
Undergraduate,Alone,9.96,Has child,2 children,High potential,Senior,Low income,Low consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.44,No child,No child,Need attention,Mature,High income,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.56,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.99,No child,No child,High potential,Mature,Low income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.37,Has child,3 children,Leaky bucket,Senior,Medium to high income,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
Postgraduate,In couple,8.74,Has child,2 children,Leaky bucket,Mature,Low to medium income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,Alone,10.52,Has child,1 child,High potential,Mature,Low income,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,Alone,8.77,Has child,2 children,Stars,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,9.75,Has child,1 child,High potential,Mature,Low income,Low consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,10.39,Has child,2 children,High potential,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
Undergraduate,Alone,10.30,Has child,1 child,High potential,Adult,Low income,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.32,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.94,Has child,1 child,Need attention,Senior,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,10.54,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Low consumer
Postgraduate,In couple,10.12,Has child,1 child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,8.93,No child,No child,Stars,Senior,High income,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
Undergraduate,In couple,9.29,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.06,No child,No child,Stars,Young,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,10.04,No child,No child,Need attention,Adult,High income,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,10.01,Has child,2 children,Need attention,Mature,Low to medium income,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
Postgraduate,In couple,8.84,Has child,1 child,Leaky bucket,Mature,Low to medium income,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,8.79,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,8.75,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.76,No child,No child,Need attention,Mature,High income,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.90,No child,No child,Need attention,Senior,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Non consumer,Frequent consumer
Postgraduate,In couple,9.25,Has child,3 children,Leaky bucket,Senior,Low to medium income,Low consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,In couple,8.87,No child,No child,Stars,Adult,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,8.92,Has child,1 child,Stars,Adult,High income,Biggest consumer,Non consumer,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer
Undergraduate,In couple,8.84,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.87,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,9.83,No child,No child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.35,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Non consumer,Biggest consumer,Frequent consumer,Low consumer,Biggest consumer
Undergraduate,In couple,10.12,Has child,2 children,Need attention,Mature,Medium to high income,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.28,Has child,1 child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.09,Has child,1 child,Leaky bucket,Mature,Low income,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.71,Has child,1 child,High potential,Senior,Low to medium income,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,Alone,9.21,Has child,1 child,Stars,Mature,Medium to high income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.50,Has child,1 child,Leaky bucket,Senior,Medium to high income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
Postgraduate,In couple,9.54,Has child,1 child,Leaky bucket,Mature,Low income,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Undergraduate,In couple,10.08,Has child,1 child,High potential,Adult,Low income,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
Postgraduate,In couple,9.67,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
Postgraduate,In couple,9.21,Has child,1 child,Leaky bucket,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer
Postgraduate,In couple,9.58,No child,No child,Leaky bucket,Senior,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,Alone,10.18,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Undergraduate,In couple,8.97,No child,No child,Leaky bucket,Mature,Low income,Non consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.65,No child,No child,High potential,Mature,Low income,Non consumer,Non consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
Postgraduate,Alone,9.41,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,Alone,9.19,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.74,Has child,1 child,High potential,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
Postgraduate,In couple,9.21,Has child,1 child,Leaky bucket,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,9.85,Has child,1 child,Need attention,Senior,Medium to high income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.05,Has child,1 child,Need attention,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,9.39,Has child,1 child,Leaky bucket,Mature,Low to medium income,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
Undergraduate,In couple,9.26,Has child,2 children,Stars,Adult,High income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.50,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Low consumer
Postgraduate,In couple,10.55,Has child,3 children,High potential,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
Undergraduate,Alone,10.47,No child,No child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.93,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,8.78,Has child,1 child,Leaky bucket,Senior,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Undergraduate,In couple,10.45,No child,No child,Need attention,Adult,Medium to high income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.18,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.45,No child,No child,Stars,Senior,High income,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,9.10,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,In couple,8.70,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.03,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.01,No child,No child,Stars,Mature,Medium to high income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
Postgraduate,In couple,9.87,No child,No child,Need attention,Senior,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,10.35,Has child,1 child,High potential,Mature,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,In couple,9.00,Has child,2 children,Leaky bucket,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.56,Has child,1 child,Need attention,Mature,Low to medium income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.95,Has child,1 child,Need attention,Mature,Medium to high income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.41,Has child,1 child,Leaky bucket,Adult,Low to medium income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,10.59,Has child,1 child,Need attention,Adult,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.18,Has child,2 children,High potential,Adult,Low to medium income,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,Alone,8.80,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,10.05,Has child,1 child,Need attention,Senior,Medium to high income,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,8.83,Has child,2 children,Leaky bucket,Mature,Low to medium income,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,In couple,8.79,Has child,1 child,Stars,Mature,Medium to high income,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
Postgraduate,In couple,10.37,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Biggest consumer
Postgraduate,In couple,10.35,Has child,1 child,High potential,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
Postgraduate,In couple,9.18,Has child,1 child,Leaky bucket,Mature,Low to medium income,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
Postgraduate,Alone,9.57,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer
Postgraduate,Alone,10.55,Has child,1 child,High potential,Mature,Low income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.35,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
Postgraduate,In couple,10.41,No child,No child,Need attention,Mature,High income,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,10.48,No child,No child,Need attention,Mature,High income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.31,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.70,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.11,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Undergraduate,Alone,10.36,No child,No child,High potential,Senior,Low income,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.45,Has child,1 child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,10.26,Has child,1 child,High potential,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.04,No child,No child,Need attention,Senior,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,10.15,Has child,1 child,Need attention,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
Postgraduate,Alone,9.27,No child,No child,Stars,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
Postgraduate,Alone,9.90,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,8.92,Has child,1 child,Leaky bucket,Adult,Medium to high income,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,In couple,9.88,Has child,1 child,Need attention,Mature,High income,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,8.79,Has child,1 child,Stars,Senior,Medium to high income,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
Postgraduate,In couple,9.93,No child,No child,Need attention,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.58,Has child,2 children,High potential,Senior,Low income,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
Postgraduate,In couple,9.31,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
Undergraduate,In couple,10.19,No child,No child,High potential,Adult,Low income,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,10.53,Has child,1 child,Need attention,Adult,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.71,Has child,1 child,High potential,Senior,Low to medium income,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,Alone,10.33,No child,No child,Need attention,Senior,Medium to high income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.26,Has child,1 child,Stars,Mature,Medium to high income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.63,No child,No child,Stars,Adult,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.71,No child,No child,High potential,Adult,Low income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,10.22,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.78,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
Postgraduate,Alone,9.94,Has child,1 child,Need attention,Adult,Medium to high income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.38,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,8.97,No child,No child,Stars,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.82,Has child,1 child,High potential,Senior,Low to medium income,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.90,No child,No child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,10.09,Has child,2 children,High potential,Mature,Low to medium income,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,Alone,9.68,Has child,1 child,High potential,Adult,Low income,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,In couple,9.54,No child,No child,Stars,Mature,High income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
